Link,,Map,Mod,Suggested pp value,Best pp value,Difference
https://osu.ppy.sh/beatmapsets/1693907#fruits/3461274,,Camellia - Tera I/O (Jemzuu) [Rustyy/Jemzuu's Quantum Realm],HR,1256,,-1256
https://osu.ppy.sh/beatmapsets/1933753#fruits/3995789,,Marc-Andre Hamelin - Circus Galop (Cut Ver.) (fayew) [Fortississimo],NM,1255,,-1255
https://osu.ppy.sh/beatmapsets/2007971#fruits/4176819,,Camellia - GHOUL (Du5t) [Resurgence],NM,1255,,-1255
https://osu.ppy.sh/beatmapsets/2221973#fruits/4711033,,Akatsuki Records - WARNING x WARNING x WARNING (Mrbinking) [/!\],DT,1255,,-1255
https://osu.ppy.sh/beatmapsets/1771288#fruits/3637501,,TWICE - The Feels (Secre) [Heart Stealer],DT,1253,,-1253
https://osu.ppy.sh/beatmapsets/1637105#fruits/3341088,,Lorna Shore - To the Hellfire (Daletto) [Daletto & Du5t's Final Breath],HR,1250,,-1250
https://osu.ppy.sh/beatmapsets/1616833#fruits/3301339,,#N/A,NM,1250,,-1250
https://osu.ppy.sh/beatmapsets/2371021#fruits/5145164,,#N/A,HR,1250,,-1250
https://osu.ppy.sh/beatmapsets/2371021#fruits/5145164,,#N/A,HR,1250,,-1250
https://osu.ppy.sh/beatmapsets/2313020#fruits/4969000,,MuryokuP - Catastrophe (-Luminate) [Kukkai's Overdose],EZDT,1250,,-1250
https://osu.ppy.sh/beatmapsets/2091778#fruits/4384633,,Nanahoshi Kangengakudan feat. Hatsune Miku - No.39 (Petal) [No.01],HR,1250,,-1250
https://osu.ppy.sh/beatmapsets/2273300#fruits/4843091,,Mutsuhiko Izumi - Snow Goose (ZiRoX) [Secre's Terminus],NM,1248,,-1248
https://osu.ppy.sh/beatmapsets/2107464#fruits/4422807,,Camellia - The King Of Lions (Zyzyx) [IMMORTAL BEAST],NM,1245,,-1245
https://osu.ppy.sh/beatmapsets/2011522#fruits/4185823,,kanemiko - Cold Fusion (Jemzuu) [Jemzuu vs. Zyzyx's Zenithal Synthesis],NM,1245,,-1245
https://osu.ppy.sh/beatmapsets/1485606#fruits/3046354,,DJ Sharpnel - WE LUV LAMA (Razor Sharp) [YOU LUV ME?],NM,1245,,-1245
https://osu.ppy.sh/beatmapsets/1485606#fruits/3046354,,DJ Sharpnel - WE LUV LAMA (Razor Sharp) [YOU LUV ME?],NM,1245,,-1245
https://osu.ppy.sh/beatmapsets/1485606#fruits/3046354,,DJ Sharpnel - WE LUV LAMA (Razor Sharp) [YOU LUV ME?],NM,1245,,-1245
https://osu.ppy.sh/beatmapsets/2044450#fruits/4277706,,DJ SHARPNEL - BLUE ARMY (Sololiquy) [Sololiquy vs Zyzyx - Army of Death],HR,1242,,-1242
https://osu.ppy.sh/beatmapsets/1828947#fruits/4047708,,Neko Hacker - People People feat. Nanahira (My Angel RangE) [-Overdose Overdose-],DT,1240,,-1240
https://osu.ppy.sh/beatmapsets/1794725#fruits/3678616,,Camellia - Exit This Earth's Atomosphere (skill issue lol) [Abstracted Destiny],HR,1240,,-1240
